trial_id,genome_length,win_rate,num_games,num_solved,avg_guesses_solved,median_guesses_solved,avg_target_abs,mean_runtime_sec,total_runtime_sec,score,evo_pop_size,evo_genome_length,evo_generations_per_guess,evo_tournament_size,evo_crossover_rate,evo_mutation_rate,evo_elite_fraction,evo_mid_fraction,fit_error_tolerance,fit_value_weight,fit_green_bonus,fit_low_gray_bonus,fit_diversity_bonus_per_symbol,fit_diversity_min_symbols
40,10,0.2,20,4,2.0,1.0,137790.53245472244,25.94862713499999,518.9725426999998,14.0,1288,20,43,5,0.766497927026653,0.19309633347395705,0.1263959876699294,0.2962748984645138,85.47881271230555,1.4049344221470261,12.409937007747157,4.05518094718683,2.1912339787130812,5
52,10,0.2,20,4,1.25,1.0,157612.20285573122,16.799937700000005,335.9987540000001,16.25,1072,20,35,2,0.9020211647166803,0.21476488249227751,0.1425282388172796,0.12697219591515796,14.64404920054019,0.9687217823621355,19.003270385440402,0.5132362833648615,2.384402509481036,4
57,26,0.2,20,4,1.0,1.0,98320.55536464696,14.695914989999983,293.91829979999966,17.0,1185,20,27,3,0.8329619471389376,0.07430061743414551,0.014587230355372339,0.13821065258820353,83.0247825042443,1.4494677625902972,15.47714758921611,0.8184141557040577,1.16765892458575,6
66,23,0.2,20,4,1.5,1.0,50453.42915750916,6.130608719999975,122.6121743999995,15.5,425,20,32,3,0.48356685009239164,0.24257345745409087,0.0760744350334922,0.12557482086325136,35.672140530946905,0.6979134786856962,18.250841429904288,3.627413517842201,2.66657844199029,6
64,28,0.25,20,5,1.6,1.0,112432.0142,9.014919900000024,180.29839800000047,20.2,857,20,23,3,0.9450872876519926,0.17348959102941625,0.01431212458167711,0.2876746317156367,13.821083721627163,0.9213626359987319,2.9096553042808004,3.3796230575060537,1.3399434018072367,6
55,20,0.35,20,7,1.7142857142857142,1.0,90400.29476268412,18.283516160000016,365.6703232000003,29.857142857142858,1391,20,32,6,0.5685956412716703,0.2715821403863046,0.13995276953461983,0.41050919721620227,13.382767011975567,1.1148700488015453,2.9385938103835203,3.899951910874225,0.18965416419875292,4
62,15,0.25,20,5,1.0,1.0,138657.1038095238,12.341655794999975,246.83311589999948,22.0,587,20,50,6,0.5846059322111417,0.025430165984902678,0.09662165915755122,0.4526322635858694,35.36622535757414,1.2009328730445106,6.431283572222537,0.6361072284418934,1.7521613660203132,6
61,14,0.3,20,6,1.0,1.0,41265.968879901964,15.197008830000033,303.94017660000065,27.0,779,20,49,2,0.9155490610805495,0.2570505745118712,0.13523042704286573,0.3007911702678193,22.58620273666911,1.2344986968594243,18.020134072703254,3.2485756032096638,0.27041305006774796,6
49,21,0.1,20,2,1.5,2.0,7135.931333594608,28.02519076999996,560.5038153999992,5.5,1249,20,45,2,0.4813912045145575,0.17576698525121656,0.12319357592982304,0.240279388148544,28.51632606199961,1.0288943369820127,8.783184359025974,4.665130857680771,0.7213877068756247,4
73,13,0.3,20,6,2.6666666666666665,2.0,12092.952938664597,5.60918609499995,112.183721899999,22.0,518,20,24,2,0.7373885003746594,0.295920077275269,0.016711515168531126,0.3605382701894143,92.75231041548477,1.909673801945187,5.369558666638151,2.783580720817671,0.4972197226586691,5
